waste_name,biological_source,major_components,known_valorization_pathways,potential_products,potential_applications,basic_processing_steps,recommended_pathway,limitations,evidence_level,source_title,doi,source_url
Eggshell,Poultry egg processing / food waste,Primarily calcium carbonate (CaCO3); eggshell membrane contains proteins,Calcium/mineral recovery; catalyst preparation; adsorbent development; composite/filler applications,Calcium-rich material; eggshell-derived catalyst; eggshell-based adsorbent; composite filler,Materials; catalysis; water-treatment research; polymer/ceramic composites,Collection → cleaning/washing → drying → grinding; optional calcination or chemical modification depending on target,Calcium/mineral-based material or catalyst/adsorbent pathway,Composition and performance vary with processing; calcination/chemical treatment adds energy or chemical burden; end products require characterization and validation,Peer-reviewed review evidence,Food waste eggshell valorization through development of new composites: A review; Eggshell waste as catalyst: A review,10.1016/j.jclepro.2021.127416; 10.1016/j.jenvman.2017.03.088,https://www.sciencedirect.com/science/article/pii/S2214993721000725; https://pubmed.ncbi.nlm.nih.gov/28407598/
Fish scales,Fish-processing by-product,Collagen/protein-rich material; mineral components also present depending on species and processing,Collagen extraction and recovery; collagen-based material development,Fish-derived collagen; collagen-based biomaterial formulations,Biomaterials research; food/packaging research; cosmetics/nutraceutical research; tissue-engineering research,Collection → washing → drying → demineralization/pretreatment → collagen extraction → purification/characterization,Collagen recovery,"Yield and properties depend strongly on species, tissue, pretreatment, extraction method, and purification; biological applications require extensive validation",Peer-reviewed review evidence,Collagen Derived from Fish Industry Waste: Progresses and Challenges,10.3390/polym15030544,https://www.mdpi.com/2073-4360/15/3/544
Chicken feathers,Poultry-processing by-product,Keratin-rich protein; high cysteine content,Keratin extraction; keratin hydrolysates; keratin-based composites/films/hydrogels; adsorbents,Recovered keratin; keratin-based biomaterial; keratin-derived adsorbent,Materials; wastewater adsorbents; tissue-engineering/wound-repair research; coatings/composites,"Collection → washing/degreasing → drying → size reduction → keratin extraction (chemical, enzymatic, or physical route) → purification",Keratin recovery,Extraction can require strong chemicals or energy; keratin structure/processability vary; biomedical use is research-stage and needs extensive safety/biocompatibility validation,Peer-reviewed systematic/review evidence,"Valorization of feather waste in Brazil: structure, methods of extraction, and applications of feather keratin; Valorization of keratin waste biomass and its potential applications",10.1007/s11356-023-25788-x,https://pubmed.ncbi.nlm.nih.gov/36790699/; https://www.sciencedirect.com/science/article/pii/S2214714420305857
Rice husk,Rice-milling agricultural residue,Silica-rich ash fraction; cellulose; lignin; hemicellulose,Silica extraction; engineered mesoporous silica; bioenergy/thermochemical routes; adsorbent/material production,Rice-husk-derived silica; mesoporous silica; rice-husk ash; carbonaceous materials,Adsorption; catalysis; environmental remediation; advanced materials; energy-storage/materials research,Collection → cleaning → drying → grinding → thermal or chemical pretreatment/extraction → purification → product formation,Silica recovery,Silica quality depends on feedstock and processing; thermal treatment requires energy; chemical extraction produces process effluents that require management,Peer-reviewed comprehensive review evidence,Silica extraction from rice husk: Comprehensive review and applications; Rice husk waste into various template-engineered mesoporous silica materials: A comprehensive review,10.1016/j.hybadv.2023.100111; 10.1016/j.chemosphere.2022.136843,https://www.sciencedirect.com/science/article/pii/S2773207X23000945; https://www.sciencedirect.com/science/article/pii/S0045653522033367
Banana peel,Fruit-processing / household food waste,Pectin; dietary fiber/structural carbohydrates; phenolic and antioxidant compounds,Pectin extraction; phenolic/antioxidant recovery; dietary-fiber ingredient development; biofertilizer/energy routes,Pectin; antioxidant-rich extracts; fiber-rich material,Food formulation; packaging/material research; pharmaceutical/nutraceutical research; agricultural applications,Collection → washing → drying → grinding → extraction → filtration/purification → drying of recovered product,Pectin recovery,"Pectin yield/quality vary by cultivar, ripeness, extraction method, and conditions; extracts need chemical/microbiological characterization before application",Peer-reviewed review evidence,Methods and Potential in Valorization of Banana Peels Waste by Various Extraction Processes: In Review; Exploration of the Potential Application of Banana Peel for Its Effective Valorization: A Review,10.3390/su141710571; 10.1007/s12088-023-01100-w,https://www.mdpi.com/2071-1050/14/17/10571; https://pubmed.ncbi.nlm.nih.gov/38031613/
Sugarcane bagasse,Sugar-industry lignocellulosic residue,Cellulose; hemicellulose; lignin,Cellulosic fiber/cellulose extraction; cellulose nanomaterials; adsorbents; biorefinery/fermentation routes; energy,Cellulosic fiber; cellulose/nanocellulose; adsorbent; fermented bio-products,Composites; packaging/materials; water-treatment research; biofuels/biochemicals,Collection → drying/size reduction → pretreatment to reduce lignin/recalcitrance → fractionation or conversion → purification/formulation,Cellulose/cellulosic-material recovery,Lignin makes hydrolysis/fractionation difficult; pretreatment can add chemical/energy demand; product quality depends on processing conditions,Peer-reviewed review evidence,"Sugarcane bagasse - A source of cellulosic fiber for diverse applications; Cellulosic and hemicellulosic fractions of sugarcane bagasse: Potential, challenges and future perspective",10.1016/j.heliyon.2021.e07771,https://www.sciencedirect.com/science/article/pii/S2405844021018740; https://www.sciencedirect.com/science/article/abs/pii/S0141813020353563
Citrus/fruit peels,Fruit-processing residue (especially citrus and other pectin-rich fruit peels),"Pectin; dietary fiber; phenolic/bioactive compounds, varying by fruit",Pectin extraction; recovery of phenolics/bioactives; fiber-rich ingredient/material development,Pectin; polyphenol-rich extract; fiber-rich fractions,Food texturizers/stabilizers; packaging/material research; nutraceutical/pharmaceutical research,Collection → washing → drying → grinding → aqueous/assisted extraction → filtration → concentration/purification → drying,Pectin recovery,"“Fruit peels” is a broad category; composition varies substantially by species, cultivar and processing; the app should ask for the fruit type when known",Peer-reviewed comprehensive review evidence,Current progress in valorization of food processing waste and by-products for pectin extraction; Pectin from fruit peel: A comprehensive review on various extraction approaches and their potential applications,10.1016/j.ijbiomac.2023.124332; 10.1016/j.carpta.2025.100708,https://pubmed.ncbi.nlm.nih.gov/37028618/; https://www.sciencedirect.com/science/article/pii/S2666893925000477
Spent coffee grounds,Coffee brewing and processing residue,Structural carbohydrates; lignin; lipids; proteins; phenolics; caffeine and other bioactive compounds,Bioactive/lipid recovery; biorefinery fractionation; adsorbents/activated carbon; biofuels/energy; composite/material applications,Bioactive extract; recovered oil; carbonaceous adsorbent; fermented products,Food/nutraceutical research; wastewater adsorption; biorefinery; materials/energy,Collection → drying → grinding → optional defatting/extraction/fractionation → conversion or formulation → characterization,Fractionation/biorefinery pathway,"Composition varies with coffee species, roast and brewing method; inhibitors can interfere with fermentation; processing should consider detoxification and solvent/environmental burden",Peer-reviewed review evidence,Value-Added Products from Coffee Waste: A Review; Valorization of spent coffee grounds: A review,10.3390/molecules28083562; 10.1016/j.fbp.2018.05.002,https://www.mdpi.com/1420-3049/28/8/3562; https://www.sciencedirect.com/science/article/pii/S0960308518302797
Shrimp shells,Seafood-processing by-product,Chitin; proteins; calcium carbonate/minerals; pigments,Chitin/chitosan extraction; protein/mineral recovery; pigment recovery; green biorefinery,Chitin; chitosan; recovered proteins/minerals; pigment fractions,Biomaterials; wastewater-treatment adsorbents; food/material research; agricultural applications,Collection → washing → drying → grinding → demineralization → deproteinization → deacetylation (for chitosan) → purification,Chitin/chitosan recovery,Conventional extraction can use strong acid/base and generate wastewater; green routes can be slower/more complex; shell composition varies by species and source,Peer-reviewed review and experimental evidence,A Review of the Chemical Extraction of Chitosan from Shrimp Wastes and Prediction of Factors Affecting Chitosan Yield by Using an Artificial Neural Network; Sustainable and eco-friendly strategies for shrimp shell valorization,10.3390/md20110675,https://www.mdpi.com/1660-3397/20/11/675; https://www.sciencedirect.com/science/article/pii/S0269749120363442
Sawdust / wood-processing residue,Forestry and wood-processing residue,Cellulose; lignin; hemicellulose; minor extractives,Activated carbon/adsorbent production; composite filler; lignin/cellulose fractionation; thermochemical conversion,Activated carbon; biosorbent; composite filler; lignin/cellulose-derived materials,Water remediation; composite materials; adsorption; energy/materials research,Collection → drying → size reduction → carbonization/activation or fractionation → washing/conditioning → characterization,Activated carbon / adsorbent pathway,Wood species and contamination affect composition; activation conditions control pore properties; high-temperature/chemical activation has energy and chemical costs,Peer-reviewed review evidence,"Sawdust, a versatile, inexpensive, readily available bio-waste: From mother earth to valuable materials for sustainable remediation technologies",10.1016/j.cis.2021.102492,https://www.sciencedirect.com/science/article/pii/S0001868621001330
